"Gender","Age","Address","Family_Size","Parental_Status","Mother_Education","Father_Education","Mother_Job","Father_Job","Guardian","Travel_Time","Study_Time","Number_of_Failures","School_Support","Family_Support","Extra_Paid_Class","Extra_Curricular_Activities","Attended_Nursery","Wants_Higher_Education","Internet_Access","In_Relationship","Family_Relationship","Free_Time","Going_Out","Weekend_Alcohol_Consumption","Weekday_Alcohol_Consumption","Health_Status","Number_of_Absences","Grade_1","Grade_2","Final_Grade","Dropped_Out","SchoolGP","SchoolMS","Reason_for_Choosing_Schoolhome","Reason_for_Choosing_Schoolother","Reason_for_Choosing_Schoolreputation","Total_Parental_Education","Average_Grade"
0,1.0309000226944,0,"GT3","A",4,4,"at_home","teacher","mother",2,2,0,"yes","no","no","no","yes","yes","no","no",4,3,4,1,1,3,0.0733767681010722,-4.152267619857,-0.195668689198859,-0.280441240695331,"False",1,0,0,0,0,8,-1.54279251658373
0,0.209974728548798,0,"GT3","T",1,1,"at_home","other","father",1,2,0,"no","yes","no","no","no","yes","yes","no",5,3,3,1,1,3,-0.357587236402058,-0.873895739945572,-0.195668689198859,-0.280441240695331,"False",1,0,0,0,0,2,-0.450001889946587
0,-1.43187585974241,0,"LE3","T",1,1,"at_home","other","mother",1,2,0,"yes","no","no","no","yes","yes","yes","no",4,3,2,2,3,3,0.504340772604202,0.218894886691569,0.490758225882543,0.0290933940177129,"False",1,0,0,1,0,2,0.246248835530608
0,-1.43187585974241,0,"GT3","T",4,2,"health","services","mother",1,3,0,"no","yes","no","yes","yes","yes","yes","yes",3,2,2,1,1,5,-0.788551240905188,0.94742197111633,0.833971683423244,0.648162663443801,"False",1,0,1,0,0,6,0.809852105994458
0,-0.610950565596805,0,"GT3","T",3,3,"other","other","father",1,2,0,"no","yes","no","no","yes","yes","no","no",4,3,2,1,2,5,-0.788551240905188,-0.145368655520811,0.490758225882543,0.338628028730757,"False",1,0,1,0,0,6,0.228005866364163
1,-0.610950565596805,0,"LE3","T",4,3,"services","other","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,4,2,1,2,5,0.504340772604202,0.218894886691569,0.147544768341842,0.338628028730757,"False",1,0,0,0,1,7,0.235022561254723
1,-0.610950565596805,0,"LE3","T",2,2,"other","other","mother",1,2,0,"no","no","no","no","yes","yes","yes","no",4,4,4,1,1,3,-0.788551240905188,0.58315842890395,0.147544768341842,0.338628028730757,"False",1,0,1,0,0,4,0.356443741992183
0,0.209974728548798,0,"GT3","A",4,4,"other","teacher","mother",2,2,0,"yes","yes","no","no","yes","yes","no","no",4,1,4,1,1,1,-0.357587236402058,-0.509632197733191,0.490758225882543,0.338628028730757,"False",1,0,1,0,0,8,0.106584685626703
1,-1.43187585974241,0,"LE3","A",3,2,"services","other","mother",1,2,0,"no","yes","no","no","yes","yes","yes","no",4,2,2,1,1,1,-0.788551240905188,1.31168551332871,1.52039859850465,1.57676656758293,"False",1,0,1,0,0,5,1.46961689313876
1,-1.43187585974241,0,"GT3","T",3,4,"other","other","mother",1,2,0,"no","yes","no","yes","yes","yes","yes","no",5,5,1,1,1,5,-0.788551240905188,0.218894886691569,0.147544768341842,0.338628028730757,"False",1,0,1,0,0,7,0.235022561254723
